65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
2070, 18051.55, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002BBC820000000000000000
2070, 18051.60, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
2070, 18051.60, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
2070, 18079.90, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
2070, 18079.95, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
2070, 18079.95, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
2070, 18172.10, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002BBC820000000000000000
2070, 18172.20, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
2070, 18172.20, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
2070, 18178.70, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
2070, 18178.75, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
2070, 18178.75, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 21034.25, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 21034.35, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 21034.35, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
65535, 4294967.29, 1.20.20.1.3.11 argument 3 for index 11, value(20) 0xFEE4FD9E409A4781002B9C820000000000000000
65535, 4294967.29, 1.20.29.1.0.0 argument 1, value(4) 0x03000000
65535, 4294967.29, 1.20.29.2.0.0 argument 2, value(20) 0x0000FC9E00900000000004800000000000000000
